id,book,chapter,chapter_name_tamil,chapter_name_english,kural_tamil,transliteration,meaning_english,meaning_tamil,explanation_english,explanation_tamil
1,1,1,கடவுள் வாழ்த்து,The Praise of God,"அகர முதல எழுத்தெல்லாம் ஆதி
பகவன் முதற்றே உலகு.","Akara Mudhala Ezhuththellaam Aadhi
Pakavan Mudhatre Ulaku","As the letter A is the first of all letters, so the eternal God is first in the world",எழுத்துக்கள் எல்லாம் அகரத்தில் தொடங்குகின்றன; (அது போல) உலகம் கடவுளில் தொடங்குகிறது.,"Just like the letter 'A' is the foundation everything else builds on, God is the foundation of existence itself.

**Akara** — the first letter of the Tamil alphabet; literally where everything starts

**Ezhuththellaam** — all letters, all of writing and language

**Pakavan** — the eternal divine, the supreme being

Think of it this way: you can't write a single word without 'A' somewhere in the system. Similarly, you can't have a world, a life, or anything real without God as the ultimate base. It's Valluvar's way of saying the divine isn't just important—it's foundational to absolutely everything.","அகரம் அனைத்து எழுத்துக்களுக்கும் முதல் என்பது போல, கடவுளே உலகில் வாழ்கிற எல்லாப் பொருட்களுக்கும் முதன்மையான காரணம் என்பதை இந்தக் குறள் சொல்கிறது.
**""அகர முதல""** — எழுத்தெல்லாம் அகரத்திலிருந்துதான் பிறக்கின்றன, அதே போல எல்லாம் கடவுளிலிருந்துதான் தோன்றுகிறது.
**""பகவன்""** — ஆதிப் பகவன், அதாவது முழுமை நிறைந்த கடவுளின் சக்தி உலகின் ஆணிவேராக உள்ளது.
**""ஆதி""** — தோற்றம், முதல், அடிப்படை — இதுவே கடவுளின் அருளாகிறது.

ஒரு எழுத்துக்குப் பின்னாலெல்லாம் அகரமே ஒலிக்கும் மாதிரி, நம் மூச்சு, நம் சிந்தனை, நம் ஒவ்வொரு செயலும் இறைவனின் வரமாகவே இருக்கிறது. அந்த உண்மையை அறிந்துகொண்டாலே வாழ்க்கை தெளிவாகி விடும்."
2,1,1,கடவுள் வாழ்த்து,The Praise of God,"கற்றதனால் ஆய பயனென்கொல் வாலறிவன்
நற்றாள் தொழாஅர் எனின்.","Katradhanaal Aaya Payanenkol Vaalarivan
Natraal Thozhaaar Enin","What Profit have those derived from learning, who worship not the good feet of Him who is possessed of pure knowledge ?","தூய அறிவு வடிவானவனின் திருவடிகளை வணங்காதவர், படித்ததனால் பெற்ற பயன்தான் என்ன?","All your book smarts are basically worthless if you're not humble enough to bow before wisdom greater than yourself—in this case, the divine.

**Katradhanaal** — learning by itself, just collecting knowledge from books and schools.

**Aaya Payanu** — the actual benefit or profit you walk away with.

**Vaalarivan** — someone who's got that pure, supreme wisdom; basically God or ultimate truth.

**Natraal Thozhaaar Enin** — if you don't worship or respect those divine feet, those sacred principles.

The whole point? Education without humility and reverence is just empty achievement. Real wisdom means knowing when to bow.","கற்றவர்கள் பலர் பொதுவாய் தங்களுடைய கல்வியை பெருமை படுத்துவார்கள். ஆனால் திருவள்ளுவர் ஒரு கேள்வி கேட்கிறார் — அந்த கல்வியால் என்ன பயன் கிடைக்கிறது, எப்போது? அறிவு வடிவான கடவுளின் திருவடிகளை வணங்காமல் இருந்தால் மட்டுமே!

**""கற்றதனால் ஆய பயன்""** — படிப்பினால் கிடைக்கக்கூடிய வெளிப்படையான பலன்கள் பொருளும் புகழும் என்ற சார்பக விஷயங்கள். ஆனால் அவை உண்மையான பயனில்லை.
**""வாலறிவன் நற்றாள்""** — தூய்மையான, முழுமையான அறிவை உடைய ஈசனின் திருவடிகள். அதை வணங்குவதையே உண்மையான கல்விப் பயன் என்கிறார்.

உண்மையில் பார்த்தால், எவ்வளவு பெரிய ஆனாலும், தன்னை விட உயர்ந்தவரை மதிக்கத் தெரியாத மனிதன் தனது கல்விக்கே தகுதி இல்லாதவன்."
3,1,1,கடவுள் வாழ்த்து,The Praise of God,"மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்
நிலமிசை நீடுவாழ் வார்.","Malarmisai Ekinaan Maanati Serndhaar
Nilamisai Neetuvaazh Vaar","They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds",மனமாகிய மலர்மீது சென்று இருப்பவனாகிய கடவுளின் சிறந்த திருவடிகளை எப்போதும் நினைப்பவர் இப்பூமியில் நெடுங்காலம் வாழ்வர்,"Devotion to God isn't some distant, complicated thing—it's about mentally anchoring yourself to the divine and watching your life flourish.

**Malarmisai** — the flower here is your mind, a delicate, pure space where God dwells.

**Ekinaan** — He's not stuck in one place; He moves through the hearts of His devotees constantly.

**Maanati Serndhaar** — when you genuinely connect with His greatness and hold it close, you're not just gaining spiritual points.

The payoff?

**Nilamisai Neetuvaazh Vaar** — you actually thrive in this world, living long and meaningful lives. Devotion isn't just about the afterlife; it transforms how you live *now*.","கடவுளின் திருவடிகளை மனத்தில் சேர்த்து வாழ்பவர்கள் பூமியில் நீண்ட நாளும் செழிப்புடன் வாழ்வார்கள் என்பது இக்குறளின் செய்தி.
**""மலர்மிசை ஏகினான்""** — நம் மனம் போன்ற மலரில் பரிந்து வசிப்பவனே கடவுள். அவன் நம் ஆழ்ந்த பக்தியில் ஊறிக்கிடக்கிறான்.
**""மாணடி சேர்ந்தார்""** — அவனின் திருவடிகளை அணுவிற்கும் கீழ் சேர்த்துக்கொண்டவர், அதாவது எல்லாக் கணக்கும் மறந்து சரணாகதி செய்தவர்.
**""நிலமிசை நீடுவாழ் வார்""** — இந்த உலகத்தில் பொய்ப்பற்ற, கெடாத வாழ்க்கையை அவர்கள் பெறுவார்கள்.

இன்றும் பக்தி, நம்பிக்கை, உண்மையான மதிப்புகளில் நிற்பவர்கள் சமூகத்தில் செருக்குள்ளவர்களை விட நீண்ட, மங்களகரமான வாழ்வை வாழ்கிறார்கள்."
4,1,1,கடவுள் வாழ்த்து,The Praise of God,"வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு
யாண்டும் இடும்பை இல.","Ventudhal Ventaamai Ilaanati Serndhaarkku
Yaantum Itumpai Ila","To those who meditate the feet of Him who is void of desire or aversion, evil shall never come",எதிலும் விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை மனத்தால் எப்போதும் நினைப்பவருக்கு உலகத் துன்பம் ஒருபோதும் இல்லை,"If you genuinely connect with the divine—something completely free from ego, attachment, or bias—your life stops being a mess.

**Ventudhal Ventaamai Ilaan** — a god with zero desire or hatred, totally impartial and detached from wants.

**Ati Serndhaar** — those who truly meditate on and cling to that divine nature.

**Yaantum Itumpai Ila** — suffering just vanishes, everywhere, always.

The real insight here? When you align yourself with something pure and selfless, you're insulated from the drama that usually destroys people. No attachments means no disappointments, no grudges, no pain.","திருவள்ளுவர் சொல்லிறக்குவது: கடவுளின் மீது முழு நம்பிக்கை வைத்து அவர் திருவடிகளை தியானம் செய்பவர்களுக்கு எந்த விதமான கஷ்டமும் வராது என்பதுதான்.
**""வேண்டுதல் வேண்டாமை இலான்""** — ஐஸ்வரியம், புகழ், சுகமுனை எல்லாம் பற்றி இருப்பவன் அல்ல, எதையும் வெறுப்பவன் அல்ல, சம பாவனையில் நிற்கிற பரமாத்மாவைச் சொல்லிறக்குது.
**""சேர்ந்தார்க்கு""** — அவர் திருவடிகளை மனத்துல் சேர்த்து வைத்துக்கொண்டவர்களுக்கு.
**""இடும்பை""** — துன்பம், வலி, சோகம் — எதுவுமே நெருங்காது.

நம்ம வாழ்க்கையில் எத்தனைதான் பணம், பெயர், பெறும் புண்ணியம் தேடிப் போனாலும், அவ்வளவே கஷ்டங்களும் கூடுதான். ஆனா ஒரு உயர்ந்த நிலைமை கூட வாழ்ந்து, தினம் நல்லதை மட்டுமே நினைச்சுக்கொண்டு"
5,1,1,கடவுள் வாழ்த்து,The Praise of God,"இருள்சேர் இருவினையும் சேரா இறைவன்
பொருள்சேர் புகழ்புரிந்தார் மாட்டு.","Irulser Iruvinaiyum Seraa Iraivan
Porulser Pukazhpurindhaar Maattu",The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God,"கடவுளின் மெய்மைப் புகழையே விரும்புபவரிடம் அறியாமை இருளால் வரும் நல்வினை, தீவினை என்னும் இரண்டும் சேருவதில்லை","When you genuinely love and praise God, the bad karma from ignorance just can't stick to you.

**Irulser** — the darkness here means ignorance, not knowing the truth.

**Iruvinaiyum** — the two kinds of karma, good and bad, that grow out of that darkness.

**Iraivan** — God, the ultimate reality.

**Porulser Pukazhpurindhaar** — people who understand God's true nature and want genuine praise and connection with the divine.

Basically, if you're sincerely devoted to understanding and praising God, you transcend the whole karma trap. Ignorance loses its grip on you.","திருவள்ளுவர் சொல்ல வந்தது இதுதான்: இறைவனின் உண்மைப் புகழை நம் மனதுல வைத்துக்கொண்ட மனிதர்கள் மீது, அறியாமை இருளால் வரும் நல்வினையும் தீவினையும் ஒட்டிக்கொள்ளாது.
**""இருள்சேர் இருவினையும்""** — அறியாமை மூட்டையால் பிறக்கும் நல்வினையும் தீவினையும். இப்பொழுது நல்லது என்று நினைச்சுக்கிட்டு செஞ்ச கட்டணமும், தீமைன்னு நினைச்சுக்கிட்டு செஞ்ச நடக்கையும் சேர்ந்தது.
**""பொருள்சேர் புகழ்""** — உண்மையான, ஆழமான கடவுளின் புகழ். இது ஒரு சாதாரண ஆசிசுக்கு அல்ல, எண்ணத்தோடு பொருந்திய ஞானக்குறிப்பு.

நம் வாழ்க்கையில் பாருங்கோ — உயர்ந்த நோக்கத்தோட வாழ்றவனுக இந்தக் கஷ்டங்களும் குழப்பங்களும் உயர்ந்த உஸ்சத்துக்கு தடையாகாது. அவன் ஒரு வேற நிலைலயேயிருந்துச்சு."
6,1,1,கடவுள் வாழ்த்து,The Praise of God,"பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க
நெறிநின்றார் நீடுவாழ் வார்.","Porivaayil Aindhaviththaan Poidheer Ozhukka
Nerinindraar Neetuvaazh Vaar",Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses,"மெய், வாய், கண், மூக்கு, செவி ஆகிய ஐந்து பொறிகளின் வழிப் பிறக்கும் தீய ஆசைகளை அழித்து கடவுளின் பொய்யற்ற ஒழுக்க வழியிலே நின்றவர் நெடுங்காலம் வாழ்வார்","If you want a long, stable life, you've got to master your senses and live honestly—no shortcuts.

**Porivaayil** — Your five senses (sight, sound, taste, touch, smell) are like open doors where desires constantly sneak in and mess with your judgment.

**Aindhaviththaan** — God or the divine has already conquered these five desires, showing us it's possible to be free from that constant craving.

**Poidheer Ozhukka** — Living with complete honesty and integrity, without any deception or wavering from what's right.

So basically: control your senses, follow the honest path, and you'll actually live well and long. Simple formula, tough execution.","திருவள்ளுவர் சொல்ல வந்தது என்னவென்றால், நம் ஐம்பொறிகள் மூலம் வரும் கெட்ட ஆசைகளை அடக்கிய கடவுளின் உண்மையான ஒழுக்கப் பாதையில் நிற்பவர்களே நீண்ட நாள் சுகமாய்  வாழ்வாரென்பதாம்.
**""பொறிவாயில் ஐந்தவித்தான்""** — கண், காது, மூக்கு, வாய், மெய் ஆகிய ஐந்து பொறிகளைக் கடவுள் எப்படி அடக்கினார் என்பதல்ல; நமக்குள்ள ஐம்பொறியும் வாயிலாய் வரும் தீய ஆசைகளை அவர் நம்மிலிருந்து அழித்தார் என்று பொருள்.
**""பொய்தீர் ஒழுக்க நெறி""** — பொய்யற்ற, உண்மையான ஒழுக்கத்தின் வழி. இதுதான் கடவுளின் மெய்யான வாழ்வியல் மார்க்கம்.
**""நெறிநின்றார் நீடுவாழ் வார்""** — இந்த உண்மை வழியில் நிற்பவர்கள் நிலைவான வாழ்க்கை பெறுவர்.

இன்று நம் செல்போன், சோசியல் மீடியா எல்லாம் நம் ஐம்பொறிகளை ஆட்டிப்படைக்க முயற்சிக்கிறது. ஆனால் இந்த மாயையிலிருந்து விலகி, உண்மையான மதிப்பு, நேர்மை, கட்டுப்பாடு இவற்றில் நின்றால்தான் உண்மையான, நீடிய சுகம் கிடைக்கும்."
7,1,1,கடவுள் வாழ்த்து,The Praise of God,"தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்
மனக்கவலை மாற்றல் அரிது.","Thanakkuvamai Illaadhaan Thaalserndhaark Kallaal
Manakkavalai Maatral Aridhu","Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable","தனக்கு இணையில்லாத கடவுளின் திருவடிகளைச் சேர்ந்தவர்க்கே அன்றி, மற்றவர்களுக்கு மனக்கவலையைப் போக்குவது கடினம்","Mental peace isn't some DIY project—you've gotta connect with something genuinely transcendent to find it.

**Thanakkuvamai Illaadhaan** — someone without equal, incomparable. That's not your guru or your therapist; this is the ultimate, the divine.

**Thaalserndhaark** — those who've genuinely attached themselves to the feet of that incomparable being. It's about real devotion, not just thinking about it.

**Manakkavalai Maatral Aridhu** — removing anxiety from the mind is basically impossible without that connection.

So here's the thing: surface-level fixes won't cut it. Real peace comes only when you're anchored to something way bigger than yourself.","திருவள்ளுவர் சொல்ல வந்தது: உலகிலே எந்த வித்தியாசமும் இல்லாத, முற்றிலும் நிறைவான கடவுளுக்கு வணங்கி அவனுடைய பாதம் சேர்ந்தவர்களுக்கே மனதின் கவலைகள் மாறிடும் — மற்றவர்களுக்கு அது சாத்தியமே இல்லை.
**""தனக்குவமை இல்லாதான்""** — ஒப்பில்லாத, பூரணமான ஈசன். எந்த உயிரும் அவனுக்கு சமமாக இல்லை.
**""தாள்சேர்ந்தார்""** — அவனுடைய திருவடிகளை உள்ளமாய் நினைக்கும் பக்தர்கள். சரண் அடைந்த அன்பர்கள்.
**""மனக்கவலை மாற்றல் அரிது""** — மனதின் பீடைகளைப் போக்குவது கடினமாய் உள்ளது.

இந்நாளைய கலக்கமான உலகில், நாம் பல பக்கமும் தேடினாலும் மனசாந்தி கிடைக்காது. ஆனால் ஒரு மாபெரும் சக்திக்கு முற்றாய் ஒப்புக் கொண்டுவிட்டால், மனம் தெளிந்திடும் — இதுவே குறளின் செய்தி."
8,1,1,கடவுள் வாழ்த்து,The Praise of God,"அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்
பிறவாழி நீந்தல் அரிது.","Aravaazhi Andhanan Thaalserndhaark Kallaal
Piravaazhi Neendhal Aridhu","None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue",அறக்கடலான கடவுளின் திருவடிகளை சேர்ந்தவரே அல்லாமல் மற்றவர் பிறவியாக கடலை நீந்திக் கடப்பது கடினம்,"Without divine grace, you're basically drowning in life's suffering—and the only life raft is connecting with someone who embodies virtue.

**Aravaazhi** — the ocean of virtue; think of it as an endless source of goodness and wisdom that's literally boundless, like water.

**Andhanan** — the gracious being (often interpreted as God or an enlightened sage) who *is* that ocean of virtue themselves.

**Piravaazhi** — the ocean of rebirth and suffering; all the pain and cycles you're stuck in without guidance.

The idea's pretty straightforward: try crossing life's misery alone and you'll exhaust yourself. But latch onto someone deeply virtuous? That's your only real chance at freedom.","திருவள்ளுவர் சொல்ல வந்தது என்னவென்றால், நல்லறங்களின் கடலாக நிற்கும் சான்றோர்களின் அடிக்கீழ் அடிபணிந்தவர்களுக்கே மட்டுமே பிறவிப்பெருங்கடலைத் தாண்ட முடியும் என்கிறார்.
**""அறவாழி""** — அறத்தின் அளவிலாத கடல், அதாவது நல்ல குணங்களின் செல்வம் பொருந்திய மகான்களைக் குறிக்கிறது.
**""பிறவாழி""** — பிறவிப்பெருங்கடல், அதாவது பல பிறவிகளின் சுழல், துன்பங்களின் அலைகள்.
**""திருவடிசேர்ந்தார்""** — உண்மையான நெறியாளர்களின் வழிகாட்டலுக்குக் கீழ்ப்படியும் மக்கள் என்று பொருள்.

உயர்ந்தவர்களின் நல்ல பாதையைப் பின்பற்றிக்கொண்டு, அவர்களிடம் கற்றுக்கொண்ட நல்ல விதிமுறைகளுக்குள் வாழ்ந்தால், வாழ்க்கையின் எல்லா வன்மைகளையும் கடக்க முடியும். குறிப்பாக, நம்மை சிறப்பாகக் கொண்டுசெல்லலாம் என்ற கருத்து எல்லாக் காலத்திலும் பொருந்துவதாகவே தோன்றுகிறது."
9,1,1,கடவுள் வாழ்த்து,The Praise of God,"கோளில் பொறியின் குணமிலவே எண்குணத்தான்
தாளை வணங்காத் தலை.","Kolil Poriyin Kunamilave Enkunaththaan
Thaalai Vanangaath Thalai","The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation","எண்ணும் நல்ல குணங்களுக்கு எல்லாம் இருப்பிடமான கடவுளின் திருவடிகளை வணங்காத தலைகள், புலன்கள் இல்லாத பொறிகள்போல, இருந்தும் பயன் இல்லாதவையே","If you don't worship God, your head is pointless—like having ears that can't hear or eyes that can't see.

**Kolil Poriyin** — a sense organ without its power. Like a nose that can't smell—it's just there, useless.

**Enkunaththaan** — God with eight perfect qualities (all the goodness you can imagine, basically).

**Thaalai Vanangaath Thalai** — a head that refuses to bow to His feet.

So here's the punch: your head, your mind, your whole existence becomes a dead weight if you're not acknowledging the divine. You've got the equipment but you're not using it for what matters most.","திருவள்ளுவர் சொல்ல வந்தது எளிதுதான்: கடவுளின் திருவடிகளை வணங்காதவனுக்கு எவ்வளவு அறிவு, ஆற்றல் இருந்தாலும் அது சாத்தியமற்றதுதான் — மாறாக, புலன்களுள்ளும் செயல்படாத பொறிகளைப் போலவே அவன் பயனற்றவனாக நிற்பான்.
**""கோளில் பொறியின் குணமிலவே""** — கட்டில் வெறுமே கிடக்கும் செவி, கண் போலப் பலனற்றது; செயல்படாவிட்டால் பொறியெல்லாம் சாக்கு மட்டுமே.
**""எண் குணத்தான் தாளை""** — பல பேரினால் புகழப்படும் இறைவனின் திருவடிகளை; சரண்யத்தில் சரணடைவதை.
**""வணங்காத் தலை""** — அதை மறக்கிறவனது தலை, அது ஞானம் தேடினும் மனம் செவிசாய்க்காமல் நிற்பது போலேதான்.

நாம் எவ்வளவு பெரிய மனுஷ்யனாக இருந்தாலும், நெஞ்சுக் குனிந்து சரணாகதி செய்யாவிட்டால் அது வெறுந்திரிபான ஞ்ஞானம் மாத்திரம்தான் — அது பயனற்றது."
10,1,1,கடவுள் வாழ்த்து,The Praise of God,"பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்
இறைவன் அடிசேரா தார்.","Piravip Perungatal Neendhuvar Neendhaar
Iraivan Atiseraa Thaar",None can swim the great sea of births but those who are united to the feet of God,கடவுளின் திருவடிகளைச் சேர்ந்தவர் பிறவியாகிய பெருங்கடலை நீந்திக் கடப்பர்; மற்றவர் நீந்தவும் மாட்டார்,"The cycle of birth and death is impossible to escape on your own—you need divine grace to break free.

**Piravip Perungatal** — the endless ocean of rebirth; every time you're born, you're drowning deeper in this cycle of suffering and attachment.

**Neendhuvar** — the ones who actually swim across and make it out alive.

**Iraivan Atiseraa** — those who cling to God's feet and stay devoted; it's not just believing, but actually holding onto that connection.

The core idea? Life's a rough sea, and willpower alone won't save you. You need to grab onto something divine to stay afloat.","திருவள்ளுவர் சொல்ல வந்தது என்னவென்றால், இந்த பிறவிப் பெரிய கடலை கடக்க கடவுளின் அடிசேர்க்கம் மட்டுமே உதவும் என்பதுதான்.
**""பிறவிப் பெருங்கடல்""** — பிறந்து இறந்தான சுழலிலே சிக்கி தவிப்பது. ஒரு தடையற்ற கடலைப் போல எது நம்மை இழுத்துச் செல்கிறது.
**""நீந்துவர்""** — இந்த கடலைத் தாண்ட முறிக்கு வரும் ஆண்கள்-பெண்கள்.
**""இறைவன் அடிசேரா தார்""** — ஈசன் பாதம் பிடிக்கவே மாட்டாத மற்றவர், அவர்களுக்கு வழியில்லை.

ஆன்மீகமாக பார்க்கலாம்கூட, கீழ்மையான ஆண்மை, அறிவீனம், பேராசை — இவையெல்லாம் நம்மை ஆழமான கொள்ளைக்குத் தள்ளிவிடும். ஆனால் நெறிக்கு நிற்கும் மனுஷ்யன் இந்த எல்லாவற்றையுமே கடக்கிற வல்லமையைப் பெறுவான்."
